Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22pf,
"C3, C4, C5",0603,3,100nf,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123F,17,D,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0603,2,5.1K,
"R3, R4",0603,2,0R,
"R5, R7",0603,2,10K,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_PCB_1.00u,17,SW_Push,
SW18,SW_SPST_PTS810,1,SW_Push,
U1,QFN-32_L5.0-W5.0-P0.50-TL-EP3.5,1,~,
U2,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm,1,32768,
